actual,predicted,residual,home,away
-4,1.2461827319044816,-5.246182731904481,Eels,Storm
8,19.046314360516202,-11.046314360516202,Warriors,Knights
-1,-2.1136385446313,1.1136385446313,Panthers,Broncos
25,19.314260538680827,5.685739461319173,Sea Eagles,Bulldogs
1,2.7890993792267365,-1.7890993792267365,Cowboys,Raiders
-9,-13.59977151088767,4.5997715108876704,Sharks,Rabbitohs
10,5.086575732035118,4.913424267964882,Dolphins,Roosters
-12,4.674782049415639,-16.67478204941564,Tigers,Titans
6,14.381528029558707,-8.381528029558707,Panthers,Rabbitohs
-4,-3.632020642109359,-0.3679793578906412,Eels,Sharks
12,12.65831810847396,-0.65831810847396,Broncos,Cowboys
8,17.177772542651738,-9.177772542651738,Roosters,Warriors
6,-5.785999912169178,11.785999912169178,Dolphins,Raiders
-14,-13.931324230636388,-0.06867576936361175,Storm,Bulldogs
-2,-5.990214267822946,3.990214267822946,Tigers,Knights
14,21.55868383140999,-7.55868383140999,Dragons,Titans
4,-3.058384557514805,7.058384557514805,Sea Eagles,Eels
-16,-13.999151569390476,-2.0008484306095244,Knights,Dolphins
2,-1.7661879483633203,3.7661879483633203,Roosters,Rabbitohs
4,1.8256520301238826,2.1743479698761172,Titans,Storm
-14,-22.774301534585312,8.774301534585312,Cowboys,Warriors
22,17.05856598569362,4.941434014306381,Broncos,Dragons
4,6.125543153206594,-2.1255431532065936,Bulldogs,Tigers
4,0.0059291178962377344,3.9940708821037623,Raiders,Sharks
1,8.62564235203141,-7.625642352031409,Eels,Panthers
12,22.70018820310714,-10.700188203107139,Storm,Tigers
-6,-3.6211026670121678,-2.3788973329878322,Dolphins,Broncos
12,1.4639520010672968,10.536047998932704,Cowboys,Titans
1,0.43699466333733816,0.5630053366626618,Rabbitohs,Sea Eagles
2,10.944736916540574,-8.944736916540574,Warriors,Bulldogs
10,8.478520676373485,1.5214793236265152,Knights,Raiders
-32,-23.378559646164287,-8.621440353835713,Dragons,Sharks
8,14.16165604956217,-6.16165604956217,Roosters,Eels
-41,-37.33757185680598,-3.6624281431940204,Raiders,Panthers
-8,-9.88352561584152,1.8835256158415206,Rabbitohs,Storm
0,-1.2153176012889928,1.2153176012889928,Sea Eagles,Knights
26,23.02875748027005,2.9712425197299517,Dragons,Dolphins
34,16.82925653773327,17.17074346226673,Broncos,Tigers
-2,10.36976119030294,-12.36976119030294,Sharks,Warriors
1,3.8785137420788827,-2.8785137420788827,Bulldogs,Cowboys
20,27.137534767886443,-7.137534767886443,Storm,Roosters
-34,-34.44888999232761,0.44888999232760796,Bulldogs,Rabbitohs
-10,-3.960297265832444,-6.039702734167556,Cowboys,Dolphins
32,24.138113309580113,7.861886690419887,Panthers,Sea Eagles
-6,-5.7548594505461335,-0.24514054945386654,Broncos,Raiders
2,13.461739648833888,-11.461739648833888,Titans,Dragons
10,1.73548120847235,8.26451879152765,Knights,Warriors
-6,13.080319366537793,-19.080319366537793,Tigers,Eels
-22,-15.492874784870745,-6.507125215129255,Dolphins,Rabbitohs
10,14.33948506665677,-4.339485066656771,Sharks,Roosters
10,4.39711257365075,5.60288742634925,Sea Eagles,Storm
8,-3.4813539952731114,11.48135399527311,Warriors,Cowboys
-1,-10.60504310024981,9.60504310024981,Knights,Panthers
-17,-9.150516970424375,-7.849483029575625,Titans,Broncos
6,-4.225721029232355,10.225721029232355,Raiders,Dragons
26,5.583785960662634,20.416214039337365,Eels,Bulldogs
2,4.750374260217715,-2.750374260217715,Rabbitohs,Panthers
-10,-17.17088460965016,7.170884609650159,Eels,Broncos
-13,-12.475810971662524,-0.5241890283374762,Bulldogs,Sharks
2,3.787813571550778,-1.7878135715507781,Cowboys,Knights
2,-3.396917551825851,5.396917551825851,Dolphins,Titans
-6,14.086863052092417,-20.08686305209242,Tigers,Sea Eagles
1,2.591242227646578,-1.5912422276465779,Roosters,Dragons
8,11.823282444530914,-3.823282444530914,Storm,Warriors
38,30.30294129447168,7.69705870552832,Sharks,Cowboys
31,33.12348394757504,-2.123483947575039,Eels,Knights
-26,-12.36193996304604,-13.63806003695396,Broncos,Rabbitohs
1,32.87951018471015,-31.87951018471015,Raiders,Dolphins
-16,-8.177013378270253,-7.822986621729747,Sea Eagles,Titans
-4,-8.2992338944629,4.299233894462899,Panthers,Tigers
-14,-5.3681006295679,-8.6318993704321,Warriors,Roosters
-2,-7.590495661712244,5.590495661712244,Dragons,Bulldogs
-4,-8.47455748221557,4.47455748221557,Bulldogs,Raiders
-26,-19.34405204559543,-6.655947954404571,Sea Eagles,Broncos
-12,-11.051948511061738,-0.9480514889382619,Warriors,Panthers
-20,-4.619008369086448,-15.380991630913552,Sharks,Dolphins
-16,-10.862897030841744,-5.137102969158256,Storm,Rabbitohs
2,3.1090373539420115,-1.1090373539420115,Tigers,Dragons
-14,-10.492890973485265,-3.507109026514735,Roosters,Cowboys
2,-4.287074572816236,6.287074572816236,Titans,Eels
8,5.366550340206125,2.6334496597938752,Storm,Broncos
-12,1.687420332139682,-13.687420332139682,Bulldogs,Warriors
44,38.92827230063562,5.071727699364381,Panthers,Roosters
20,12.513234141488155,7.486765858511845,Rabbitohs,Tigers
20,22.395961795337595,-2.3959617953375947,Cowboys,Dragons
8,3.683081124897691,4.316918875102309,Raiders,Eels
20,9.086046244418553,10.913953755581447,Knights,Titans
-6,-11.052622551429499,5.052622551429499,Sea Eagles,Sharks
-11,-26.515359922316513,15.515359922316513,Broncos,Panthers
2,7.53533979672655,-5.53533979672655,Dragons,Roosters
-20,-7.642877087729909,-12.357122912270091,Rabbitohs,Eels
20,27.741172364367355,-7.741172364367355,Sharks,Knights
48,54.72345826132063,-6.72345826132063,Tigers,Cowboys
-8,-12.20696561638172,4.206965616381719,Dolphins,Storm
2,-3.5214577126049758,5.521457712604976,Bulldogs,Titans
-28,-11.66072554836405,-16.33927445163595,Raiders,Sea Eagles
14,-5.572064169772911,19.57206416977291,Dolphins,Dragons
8,5.172838617719112,2.827161382280888,Eels,Cowboys
-4,0.5396418193098084,-4.539641819309808,Warriors,Broncos
-7,-12.295204989765903,5.295204989765903,Rabbitohs,Raiders
10,18.68750712394651,-8.68750712394651,Knights,Sea Eagles
-1,9.03508048803931,-10.03508048803931,Tigers,Raiders
22,10.015181172515833,11.984818827484167,Warriors,Dolphins
-18,-11.68283476806595,-6.31716523193405,Titans,Rabbitohs
-8,-0.3698101092842099,-7.630189890715791,Sharks,Broncos
1,0.8389432981702943,0.16105670182970566,Roosters,Bulldogs
25,23.117685628919762,1.8823143710802377,Cowboys,Storm
8,3.862421380995149,4.1375786190048505,Panthers,Dragons
16,13.8090119447628,2.1909880552372005,Titans,Tigers
-22,-15.439586645246992,-6.560413354753008,Raiders,Warriors
40,29.810318415552143,10.189681584447857,Sea Eagles,Dolphins
6,-1.6038838754859988,7.603883875485999,Dragons,Rabbitohs
4,3.1957848657102272,0.8042151342897728,Broncos,Knights
-24,-16.71545753883322,-7.2845424611667795,Roosters,Panthers
44,40.30701612643004,3.6929838735699576,Storm,Sharks
-22,-7.409188716687152,-14.59081128331285,Bulldogs,Eels
4,-5.755281096572339,9.75528109657234,Cowboys,Panthers
-2,3.599445088690369,-5.599445088690369,Knights,Roosters
30,29.237583980436938,0.7624160195630623,Eels,Sea Eagles
-22,-11.770200881925808,-10.229799118074192,Tigers,Storm
38,30.117606879472834,7.882393120527166,Sharks,Bulldogs
-30,-27.4763990857506,-2.5236009142494,Dragons,Warriors
-28,-34.34804292980876,6.348042929808763,Dolphins,Eels
8,25.99867036905192,-17.99867036905192,Panthers,Knights
18,13.534602373313668,4.465397626686332,Storm,Sea Eagles
-6,4.602994644283129,-10.602994644283129,Broncos,Titans
-25,-21.903247764209954,-3.0967522357900457,Rabbitohs,Cowboys
-2,-14.017867612633319,12.017867612633319,Roosters,Raiders
36,35.875560772149655,0.12443922785034545,Sharks,Dragons
-22,-24.35521771396992,2.355217713969921,Warriors,Rabbitohs
-18,-13.854894239145436,-4.145105760854564,Storm,Panthers
4,-6.7481014423064245,10.748101442306425,Raiders,Titans
74,68.89873299302522,5.10126700697478,Cowboys,Tigers
8,-0.3332995408354884,8.333299540835489,Broncos,Dolphins
-66,-52.64045335381382,-13.359546646186182,Bulldogs,Knights
2,9.337542939914357,-7.337542939914357,Sea Eagles,Roosters
-24,-20.036761608747803,-3.9632383912521973,Tigers,Sharks
-10,11.36272828225529,-21.36272828225529,Dragons,Raiders
-36,-30.339916984708744,-5.6600830152912565,Eels,Warriors
-4,-1.2710731356901663,-2.728926864309834,Rabbitohs,Bulldogs
-2,-3.5982901220159214,1.5982901220159214,Titans,Dolphins
16,23.34974371209987,-7.349743712099869,Knights,Tigers
-20,-10.228471739970168,-9.771528260029832,Bulldogs,Broncos
-11,-4.6179862717888165,-6.3820137282111835,Sea Eagles,Cowboys
-14,-0.32812624071754337,-13.671873759282457,Roosters,Storm
32,24.333930669099107,7.666069330900893,Warriors,Sharks
-10,1.8526528866484213,-11.852652886648421,Dolphins,Panthers
1,-5.766052425964261,6.766052425964261,Eels,Titans
4,-8.396233118244394,12.396233118244394,Dragons,Tigers
1,-3.9898468591856133,4.989846859185613,Warriors,Raiders
-16,-19.396581104660346,3.3965811046603456,Rabbitohs,Broncos
-18,-11.607910252247738,-6.392089747752262,Titans,Roosters
8,7.4854883033284985,0.5145116966715015,Knights,Storm
8,12.667463139379382,-4.667463139379382,Cowboys,Eels
26,13.323246510013753,12.676753489986247,Panthers,Bulldogs
-4,-4.643997055785006,0.6439970557850057,Sharks,Sea Eagles
22,15.522428533490261,6.477571466509739,Broncos,Roosters
-14,-19.481679472757943,5.481679472757943,Tigers,Rabbitohs
30,27.7673532485871,2.2326467514129007,Storm,Eels
-22,-27.920815461461775,5.920815461461775,Raiders,Knights
-6,7.717817433622575,-13.717817433622574,Dragons,Sea Eagles
28,35.532018594678526,-7.532018594678526,Panthers,Sharks
1,-2.0270970067632508,3.0270970067632508,Bulldogs,Dolphins
9,20.813529413538255,-11.813529413538255,Titans,Cowboys
10,4.1232289379088956,5.8767710620911044,Roosters,Sea Eagles
-10,-6.960177952180112,-3.0398220478198876,Titans,Warriors
20,19.160163035177582,0.8398369648224175,Panthers,Storm
-16,-4.443719087732477,-11.556280912267523,Cowboys,Broncos
-2,6.052850966653141,-8.052850966653141,Dolphins,Knights
-10,-1.9312632076273375,-8.068736792372663,Rabbitohs,Sharks
6,2.5783919838260356,3.4216080161739644,Eels,Dragons
4,12.091547609562827,-8.091547609562827,Raiders,Tigers
-12,-13.1112951070607,1.1112951070607,Sea Eagles,Panthers
30,26.13426428638746,3.8657357136125405,Sharks,Titans
44,37.58407774492581,6.415922255074193,Broncos,Eels
12,9.917756497057042,2.0822435029429585,Rabbitohs,Dragons
-8,-10.843081412846423,2.8430814128464235,Tigers,Warriors
16,14.618182174967558,1.3818178250324422,Roosters,Dolphins
46,24.117266601779477,21.882733398220523,Storm,Raiders
36,28.244537810984717,7.755462189015283,Knights,Bulldogs
-20,-14.324491002607308,-5.675508997392692,Cowboys,Sharks
7,-0.3272122937567712,7.327212293756771,Warriors,Sea Eagles
-22,-25.312269884307312,3.3122698843073124,Eels,Roosters
1,-2.376303631328806,3.376303631328806,Tigers,Dolphins
-26,-18.876000308119053,-7.123999691880947,Titans,Panthers
-10,-6.21768523405029,-3.7823147659497103,Dragons,Storm
19,24.754024784701496,-5.754024784701496,Knights,Rabbitohs
12,11.225001526759543,0.7749984732404567,Raiders,Bulldogs
-14,2.5486780964602778,-16.54867809646028,Panthers,Eels
12,19.589983491690184,-7.589983491690184,Warriors,Dragons
-24,-18.929103804416055,-5.070896195583945,Dolphins,Cowboys
21,13.356987207827666,7.643012792172334,Storm,Titans
24,21.594062831328518,2.405937168671482,Roosters,Tigers
-11,-10.338532960574492,-0.6614670394255082,Raiders,Broncos
-18,-21.173072129725746,3.173072129725746,Bulldogs,Sea Eagles
26,34.509710256055044,-8.509710256055044,Knights,Sharks
-10,-6.115570723012123,-3.884429276987877,Broncos,Storm
42,45.676968756826724,-3.6769687568267244,Sea Eagles,Tigers
-14,-14.125902604522524,0.12590260452252444,Rabbitohs,Roosters
24,25.32792522271961,-1.3279252227196103,Dolphins,Warriors
32,40.55657047709378,-8.556570477093778,Panthers,Cowboys
-20,-15.90215273451772,-4.0978472654822795,Dragons,Knights
4,9.667910281520147,-5.667910281520147,Titans,Bulldogs
18,-1.0913852904475494,19.091385290447548,Sharks,Raiders
12,2.4462620595749853,9.553737940425014,Sea Eagles,Rabbitohs
10,12.691058615961516,-2.6910586159615164,Roosters,Broncos
-16,-14.523890373520846,-1.476109626479154,Knights,Raiders
-4,17.407199517656405,-21.407199517656405,Warriors,Sharks
8,-6.642353998138924,14.642353998138924,Storm,Panthers
18,20.331381247087833,-2.3313812470878332,Eels,Bulldogs
-24,-10.962468186880491,-13.037531813119509,Titans,Dragons
-25,-25.024212677523096,0.02421267752309575,Dolphins,Cowboys
10,11.913485664119735,-1.9134856641197349,Broncos,Rabbitohs
19,21.65890997746096,-2.6589099774609615,Sharks,Bulldogs
8,25.354878488100073,-17.354878488100073,Panthers,Eels
20,19.165851192647143,0.8341488073528573,Raiders,Tigers
1,-9.169866763394406,10.169866763394406,Cowboys,Knights
4,7.082439898301226,-3.0824398983012262,Storm,Warriors
7,9.657929348974527,-2.657929348974527,Sea Eagles,Roosters
38,22.1374066192089,15.8625933807911,Dolphins,Dragons
22,17.504386469020805,4.495613530979195,Panthers,Broncos
8,3.9422948318560813,4.057705168143919,Warriors,Raiders
42,25.55568793186411,16.44431206813589,Roosters,Rabbitohs
32,37.117592988926845,-5.1175929889268446,Bulldogs,Titans
-22,-19.51404373020849,-2.4859562697915116,Dragons,Cowboys
26,13.887657670042229,12.112342329957771,Tigers,Sharks
4,1.0337292643662555,2.9662707356337448,Eels,Sea Eagles
2,3.854133171318739,-1.8541331713187388,Knights,Storm
-6,-6.9809106487069865,0.9809106487069865,Roosters,Panthers
4,9.253839983247657,-5.253839983247657,Rabbitohs,Bulldogs
26,23.03429590137933,2.9657040986206695,Broncos,Cowboys
8,9.52825163381385,-1.5282516338138503,Dragons,Sea Eagles
-16,-9.930537958121105,-6.069462041878895,Titans,Dolphins
8,3.032080086838235,4.967919913161765,Warriors,Knights
14,5.451659361854846,8.548340638145154,Sharks,Raiders
-1,-1.6941288334427207,0.6941288334427207,Eels,Tigers
2,-3.0450020393876507,5.045002039387651,Storm,Broncos
4,13.887534294205537,-9.887534294205537,Bulldogs,Roosters
20,11.571076653779683,8.428923346220317,Knights,Dragons
-30,-26.13395758306133,-3.8660424169386687,Rabbitohs,Warriors
14,5.682381996787228,8.317618003212772,Sea Eagles,Panthers
10,7.616721989958565,2.383278010041435,Dolphins,Tigers
13,11.431950582521365,1.568049417478635,Cowboys,Titans
